epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.61922,1.30205,3.01822,1.31305,0.00336,1,0.80498,0.57086,0.84751,2.83187,0.93443,0.0003375,0.0003375,0.0003375
2,12.4963,0.94258,1.58365,1.05057,0.77349,1,0.99346,0.77297,0.89474,2.59163,0.96863,0.000680694,0.000680694,0.000680694
3,18.2884,0.98722,1.37626,1.05962,0.93319,1,0.95497,0.71735,0.87433,1.54342,1.02946,0.00101696,0.00101696,0.00101696
4,23.9868,0.96414,1.27612,1.07027,0.98363,1,0.995,0.77368,0.89367,1.12885,0.93035,0.00121287,0.00121287,0.00121287
5,29.7007,0.88911,1.16394,1.03698,0.98589,1,0.995,0.7679,0.84581,0.91856,1.00204,0.0012005,0.0012005,0.0012005
6,35.4138,0.8381,1.06982,1.0165,0.9864,1,0.995,0.73807,1.00956,0.90145,1.01867,0.00118812,0.00118812,0.00118812
7,41.1209,0.8814,1.01911,1.03279,0.99621,1,0.995,0.80141,0.77667,0.70223,0.98649,0.00117575,0.00117575,0.00117575
8,46.8222,0.79615,0.91151,0.9983,0.99082,1,0.995,0.81687,0.67124,0.7421,1.00739,0.00116337,0.00116337,0.00116337
9,52.5173,0.7916,0.87263,1.01395,0.99425,1,0.995,0.79382,0.75114,0.58135,0.98959,0.001151,0.001151,0.001151
10,58.1738,0.73543,0.77082,0.98188,0.99516,1,0.995,0.82441,0.648,0.45001,0.96673,0.00113863,0.00113863,0.00113863
11,63.9086,0.71534,0.72581,0.95865,0.99464,1,0.995,0.81525,0.65041,0.52289,0.96022,0.00112625,0.00112625,0.00112625
12,69.6481,0.70266,0.70019,0.97772,0.97682,0.97323,0.995,0.76999,0.72978,0.52513,1.04445,0.00111388,0.00111388,0.00111388
13,75.3517,0.67989,0.68063,0.97325,0.83117,1,0.995,0.82378,0.66319,0.62976,1.00351,0.0011015,0.0011015,0.0011015
14,81.0602,0.69774,0.67386,0.99236,0.99619,1,0.995,0.82014,0.64107,0.43534,0.96943,0.00108913,0.00108913,0.00108913
15,86.7618,0.6853,0.60949,0.96606,0.99656,1,0.995,0.84083,0.60688,0.40896,0.92771,0.00107675,0.00107675,0.00107675
16,92.4569,0.68175,0.58201,0.97144,0.996,1,0.995,0.85559,0.60068,0.44285,0.93325,0.00106437,0.00106437,0.00106437
17,98.1593,0.66583,0.58682,0.9593,0.99439,1,0.995,0.87405,0.52387,0.44079,0.93855,0.001052,0.001052,0.001052
18,103.86,0.65576,0.55702,0.97233,0.99605,1,0.995,0.87698,0.54875,0.39386,0.96095,0.00103962,0.00103962,0.00103962
19,109.562,0.61582,0.51472,0.93757,0.99484,1,0.995,0.85079,0.55286,0.38914,0.96077,0.00102725,0.00102725,0.00102725
20,115.285,0.62801,0.52628,0.95282,0.99733,1,0.995,0.8621,0.61433,0.42303,0.94154,0.00101488,0.00101488,0.00101488
21,120.985,0.63426,0.51467,0.95218,0.99724,1,0.995,0.86557,0.62915,0.38466,0.91883,0.0010025,0.0010025,0.0010025
22,126.669,0.62794,0.48167,0.95242,0.99484,1,0.995,0.88243,0.55649,0.43531,0.88805,0.000990125,0.000990125,0.000990125
23,132.348,0.62136,0.48209,0.95748,0.99644,1,0.995,0.85976,0.57429,0.3801,0.92091,0.00097775,0.00097775,0.00097775
24,138.049,0.5965,0.4585,0.9495,0.99567,1,0.995,0.8757,0.54103,0.35686,0.94606,0.000965375,0.000965375,0.000965375
25,143.737,0.63388,0.46077,0.96157,0.99729,1,0.995,0.86631,0.59965,0.39879,0.94336,0.000953,0.000953,0.000953
26,149.468,0.61966,0.45193,0.95423,0.99664,1,0.995,0.87979,0.51027,0.38239,0.9113,0.000940625,0.000940625,0.000940625
27,155.189,0.58598,0.44397,0.94453,0.99628,1,0.995,0.87269,0.49368,0.33405,0.92813,0.00092825,0.00092825,0.00092825
28,160.867,0.57125,0.43714,0.92622,0.99637,1,0.995,0.88297,0.51505,0.33704,0.94862,0.000915875,0.000915875,0.000915875
29,166.604,0.57702,0.43223,0.93686,0.9961,1,0.995,0.88853,0.52694,0.35166,0.92319,0.0009035,0.0009035,0.0009035
30,172.322,0.58114,0.42758,0.93142,0.99642,1,0.995,0.87927,0.534,0.36658,0.93494,0.000891125,0.000891125,0.000891125
31,177.984,0.56615,0.40498,0.92708,0.99664,1,0.995,0.86831,0.49002,0.31541,0.8716,0.00087875,0.00087875,0.00087875
32,183.709,0.5784,0.41984,0.93045,0.996,1,0.995,0.8992,0.54472,0.34259,0.87977,0.000866375,0.000866375,0.000866375
33,189.425,0.56874,0.407,0.93585,0.99723,1,0.995,0.88714,0.50525,0.33715,0.88956,0.000854,0.000854,0.000854
34,195.134,0.56664,0.40848,0.93609,0.99643,1,0.995,0.91822,0.42009,0.32436,0.85641,0.000841625,0.000841625,0.000841625
35,200.836,0.56039,0.39976,0.93586,0.99671,1,0.995,0.89325,0.50693,0.31973,0.89022,0.00082925,0.00082925,0.00082925
36,206.54,0.54558,0.38866,0.92493,0.99677,1,0.995,0.90426,0.48924,0.30963,0.88984,0.000816875,0.000816875,0.000816875
37,212.233,0.54675,0.38217,0.93082,0.99734,1,0.995,0.85634,0.50757,0.31858,0.9044,0.0008045,0.0008045,0.0008045
38,218.046,0.54228,0.37624,0.92587,0.99694,1,0.995,0.8877,0.48756,0.307,0.90205,0.000792125,0.000792125,0.000792125
39,223.74,0.52896,0.37016,0.94033,0.9971,1,0.995,0.89164,0.53528,0.31902,0.90297,0.00077975,0.00077975,0.00077975
40,229.442,0.53746,0.37715,0.92483,0.99726,1,0.995,0.90765,0.53071,0.34537,0.89644,0.000767375,0.000767375,0.000767375
41,235.165,0.54133,0.36793,0.92854,0.99773,1,0.995,0.90602,0.47752,0.31694,0.86564,0.000755,0.000755,0.000755
42,240.879,0.55198,0.3732,0.93032,0.99473,1,0.995,0.88114,0.50564,0.31966,0.86631,0.000742625,0.000742625,0.000742625
43,246.96,0.51402,0.35719,0.91453,0.99641,1,0.995,0.9341,0.46661,0.31273,0.84777,0.00073025,0.00073025,0.00073025
44,252.657,0.52443,0.37477,0.92694,0.99697,1,0.995,0.91349,0.47014,0.30903,0.86654,0.000717875,0.000717875,0.000717875
45,258.387,0.54058,0.37047,0.92944,0.99827,1,0.995,0.92669,0.46899,0.29246,0.88305,0.0007055,0.0007055,0.0007055
46,264.172,0.50014,0.34133,0.90833,0.99713,1,0.995,0.89113,0.51654,0.31488,0.89649,0.000693125,0.000693125,0.000693125
47,269.889,0.51083,0.34261,0.9206,0.99713,1,0.995,0.90679,0.47064,0.30215,0.88606,0.00068075,0.00068075,0.00068075
48,275.592,0.51543,0.34496,0.91605,0.99665,1,0.995,0.92092,0.42413,0.27543,0.85696,0.000668375,0.000668375,0.000668375
49,281.308,0.49556,0.34863,0.91192,0.99774,1,0.995,0.91637,0.44789,0.30714,0.87507,0.000656,0.000656,0.000656
50,286.986,0.50614,0.34566,0.91302,0.9961,1,0.995,0.90351,0.47561,0.30245,0.91447,0.000643625,0.000643625,0.000643625
51,292.683,0.46728,0.33612,0.90454,0.99742,1,0.995,0.89787,0.47495,0.27756,0.90283,0.00063125,0.00063125,0.00063125
52,298.35,0.47719,0.33202,0.90767,0.99701,1,0.995,0.92585,0.43936,0.27005,0.85233,0.000618875,0.000618875,0.000618875
53,304.044,0.47938,0.33157,0.90463,0.99671,1,0.995,0.92569,0.4262,0.30302,0.8585,0.0006065,0.0006065,0.0006065
54,309.724,0.49698,0.3322,0.91119,0.9975,1,0.995,0.91651,0.46024,0.29145,0.86385,0.000594125,0.000594125,0.000594125
55,315.417,0.47968,0.32633,0.91739,0.99694,1,0.995,0.93373,0.43534,0.31614,0.88427,0.00058175,0.00058175,0.00058175
56,321.09,0.4962,0.32073,0.91498,0.99759,1,0.995,0.92155,0.44451,0.294,0.90095,0.000569375,0.000569375,0.000569375
57,326.776,0.47703,0.32343,0.90299,0.99718,1,0.995,0.92448,0.42206,0.28121,0.88326,0.000557,0.000557,0.000557
58,332.484,0.47553,0.31198,0.89311,0.99652,1,0.995,0.92341,0.44017,0.34037,0.85134,0.000544625,0.000544625,0.000544625
59,338.298,0.48898,0.31397,0.90218,0.99763,1,0.995,0.91932,0.44108,0.26302,0.84733,0.00053225,0.00053225,0.00053225
60,344.004,0.44944,0.30932,0.89724,0.99719,1,0.995,0.90097,0.46145,0.29937,0.86143,0.000519875,0.000519875,0.000519875
61,349.719,0.46555,0.3128,0.90215,0.99753,1,0.995,0.93959,0.42308,0.30608,0.85779,0.0005075,0.0005075,0.0005075
62,355.463,0.48812,0.31139,0.91877,0.99684,1,0.995,0.93986,0.40045,0.29683,0.84307,0.000495125,0.000495125,0.000495125
63,361.18,0.46253,0.31174,0.90464,0.99697,1,0.995,0.92383,0.45302,0.28739,0.87605,0.00048275,0.00048275,0.00048275
64,366.892,0.44319,0.29986,0.90658,0.99676,1,0.995,0.93018,0.3954,0.24299,0.84653,0.000470375,0.000470375,0.000470375
65,372.592,0.47198,0.30311,0.90287,0.99752,1,0.995,0.92472,0.40529,0.27101,0.8653,0.000458,0.000458,0.000458
66,378.294,0.45097,0.28961,0.8993,0.99775,1,0.995,0.94591,0.39975,0.25957,0.83441,0.000445625,0.000445625,0.000445625
67,384.02,0.44125,0.292,0.89416,0.99663,1,0.995,0.92372,0.43107,0.25462,0.87615,0.00043325,0.00043325,0.00043325
68,389.711,0.43685,0.29176,0.89208,0.99906,1,0.995,0.93056,0.42736,0.26303,0.87421,0.000420875,0.000420875,0.000420875
69,395.417,0.42946,0.29135,0.89838,0.99806,1,0.995,0.93081,0.40658,0.26146,0.83221,0.0004085,0.0004085,0.0004085
70,401.105,0.43512,0.29,0.88937,0.99679,1,0.995,0.94512,0.40306,0.25229,0.84379,0.000396125,0.000396125,0.000396125
71,406.84,0.44062,0.29286,0.89969,0.9972,1,0.995,0.94289,0.38125,0.24556,0.83797,0.00038375,0.00038375,0.00038375
72,412.548,0.44032,0.2825,0.90705,0.99779,1,0.995,0.94878,0.3524,0.24959,0.83327,0.000371375,0.000371375,0.000371375
73,418.261,0.41456,0.28364,0.88158,0.99757,1,0.995,0.94343,0.39284,0.26394,0.8731,0.000359,0.000359,0.000359
74,423.969,0.43171,0.27841,0.89449,0.99705,1,0.995,0.94609,0.35884,0.24886,0.83071,0.000346625,0.000346625,0.000346625
75,429.769,0.42179,0.27726,0.89803,0.99685,1,0.995,0.94249,0.38842,0.23878,0.83093,0.00033425,0.00033425,0.00033425
76,435.504,0.43644,0.27738,0.89753,0.99795,1,0.995,0.94887,0.35673,0.24668,0.82073,0.000321875,0.000321875,0.000321875
77,441.24,0.44192,0.28719,0.90381,0.99634,1,0.995,0.95299,0.33859,0.25309,0.81502,0.0003095,0.0003095,0.0003095
78,446.935,0.44062,0.28637,0.89804,0.99629,1,0.995,0.94153,0.37681,0.26872,0.83183,0.000297125,0.000297125,0.000297125
79,452.653,0.39715,0.26626,0.87678,0.99801,1,0.995,0.93339,0.40498,0.26041,0.83115,0.00028475,0.00028475,0.00028475
80,458.363,0.42127,0.26731,0.88131,0.99715,1,0.995,0.94043,0.37259,0.24587,0.81979,0.000272375,0.000272375,0.000272375
81,464.051,0.39113,0.26194,0.87241,0.9957,1,0.995,0.94233,0.35184,0.24989,0.81956,0.00026,0.00026,0.00026
82,469.753,0.41196,0.2648,0.88686,0.99619,1,0.995,0.95181,0.36448,0.25056,0.8309,0.000247625,0.000247625,0.000247625
83,475.452,0.40461,0.2663,0.88903,0.99792,1,0.995,0.94863,0.37482,0.25093,0.84406,0.00023525,0.00023525,0.00023525
84,481.135,0.41044,0.25628,0.88958,0.99958,1,0.995,0.94534,0.35018,0.25193,0.83026,0.000222875,0.000222875,0.000222875
85,486.823,0.39638,0.25201,0.88568,0.99956,1,0.995,0.95208,0.35097,0.25501,0.82905,0.0002105,0.0002105,0.0002105
86,492.5,0.39947,0.26119,0.87352,1,1,0.995,0.94149,0.37578,0.26164,0.84408,0.000198125,0.000198125,0.000198125
87,498.245,0.3918,0.25446,0.88301,1,1,0.995,0.94958,0.33622,0.23343,0.82049,0.00018575,0.00018575,0.00018575
88,503.967,0.39713,0.2659,0.87931,0.99871,1,0.995,0.95936,0.33079,0.2321,0.82529,0.000173375,0.000173375,0.000173375
89,509.681,0.38262,0.25294,0.87679,0.99903,1,0.995,0.95495,0.34853,0.25222,0.83995,0.000161,0.000161,0.000161
90,515.413,0.37332,0.24366,0.86927,0.99815,1,0.995,0.95529,0.33742,0.2442,0.83457,0.000148625,0.000148625,0.000148625
91,537.779,0.3465,0.22812,0.85272,0.99616,1,0.995,0.95172,0.34012,0.23645,0.83017,0.00013625,0.00013625,0.00013625
92,543.431,0.34409,0.21603,0.84399,0.99621,1,0.995,0.95214,0.34257,0.2377,0.8259,0.000123875,0.000123875,0.000123875
93,549.056,0.33094,0.21541,0.83536,0.9965,1,0.995,0.93656,0.36219,0.22482,0.83863,0.0001115,0.0001115,0.0001115
94,554.705,0.33733,0.2103,0.84092,0.99653,1,0.995,0.94186,0.33711,0.20923,0.82844,9.9125e-05,9.9125e-05,9.9125e-05
95,560.321,0.3384,0.20891,0.84163,0.997,1,0.995,0.94734,0.34948,0.22614,0.83103,8.675e-05,8.675e-05,8.675e-05
