epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.62611,1.07192,3.05433,1.12754,0.00333,1,0.995,0.70271,1.12164,2.8292,1.1818,8e-05,8e-05,8e-05
2,2.71911,0.67808,2.55226,0.98074,0.00333,1,0.995,0.90358,0.45365,2.39151,0.97599,0.000178218,0.000178218,0.000178218
3,3.99207,0.48314,1.21223,0.83704,0.97788,1,0.995,0.89764,0.50298,2.03841,0.98007,0.000274456,0.000274456,0.000274456
4,5.28078,0.48061,1.07543,0.84721,0.97644,1,0.995,0.93423,0.41914,2.14302,0.97735,0.000368714,0.000368714,0.000368714
5,6.57113,0.48918,0.9793,0.84464,0.98621,1,0.995,0.88428,0.52995,1.92271,0.98747,0.000460992,0.000460992,0.000460992
6,7.77537,0.46134,0.93242,0.84218,0.98791,1,0.995,0.88037,0.57335,1.80308,1.01328,0.00055129,0.00055129,0.00055129
7,9.03989,0.44953,0.98566,0.87148,0.9674,1,0.995,0.86596,0.64262,2.20791,1.00314,0.000639608,0.000639608,0.000639608
8,10.1991,0.44383,0.93171,0.85386,0.9745,1,0.995,0.87833,0.6241,2.23794,1.00311,0.000725946,0.000725946,0.000725946
9,11.3917,0.47003,0.97925,0.86059,0.98927,1,0.995,0.89588,0.50295,1.78139,0.98958,0.000810304,0.000810304,0.000810304
10,12.7053,0.46104,0.92607,0.85508,0.98812,1,0.995,0.88556,0.49046,1.73199,0.98742,0.000892682,0.000892682,0.000892682
11,13.9052,0.46053,0.8324,0.8469,0.99091,1,0.995,0.86918,0.60667,1.76199,1.00957,0.00097308,0.00097308,0.00097308
12,15.218,0.5178,0.89689,0.87541,0.99574,1,0.995,0.80944,0.73112,1.41294,1.06489,0.0010515,0.0010515,0.0010515
13,16.4139,0.51508,0.91734,0.87367,0.99473,1,0.995,0.8955,0.51278,1.37486,1.00109,0.00112794,0.00112794,0.00112794
14,17.682,0.43664,0.78083,0.87956,0.99568,1,0.995,0.92081,0.41598,1.39358,0.9732,0.00120239,0.00120239,0.00120239
15,19.0685,0.41903,0.79638,0.85015,0.99554,1,0.995,0.94989,0.42012,1.09253,0.97282,0.00127487,0.00127487,0.00127487
16,21.1281,0.43823,0.78898,0.83745,0.99646,1,0.995,0.94052,0.45837,1.18074,0.97046,0.00134537,0.00134537,0.00134537
17,22.4029,0.45337,0.79193,0.87218,0.99677,1,0.995,0.86122,0.57611,1.2939,0.99869,0.00141389,0.00141389,0.00141389
18,23.759,0.43334,0.81648,0.84838,0.99649,1,0.995,0.87139,0.53364,1.0764,0.99402,0.00148043,0.00148043,0.00148043
19,24.9803,0.42621,0.73401,0.82825,0.99577,1,0.995,0.89052,0.50821,0.87694,0.99062,0.00154498,0.00154498,0.00154498
20,26.2622,0.4565,0.73214,0.85972,0.99614,1,0.995,0.91464,0.49895,0.97101,0.98536,0.00160756,0.00160756,0.00160756
21,27.4487,0.46124,0.7809,0.86794,0.99661,1,0.995,0.9376,0.4554,0.84717,0.97714,0.001604,0.001604,0.001604
22,28.6851,0.41293,0.71583,0.85863,0.99691,1,0.995,0.93017,0.45955,0.64441,0.97603,0.0015842,0.0015842,0.0015842
23,29.9986,0.43798,0.70172,0.84961,0.99692,1,0.995,0.92206,0.54713,0.68987,1.00083,0.0015644,0.0015644,0.0015644
24,31.2459,0.41954,0.67968,0.8547,0.99669,1,0.995,0.89882,0.50056,0.61398,0.98398,0.0015446,0.0015446,0.0015446
25,32.4759,0.40574,0.6808,0.84653,0.9969,1,0.995,0.8986,0.48855,0.58572,0.9863,0.0015248,0.0015248,0.0015248
26,33.6203,0.44698,0.67627,0.85714,0.99703,1,0.995,0.90894,0.45486,0.49823,0.9814,0.001505,0.001505,0.001505
27,35.2508,0.42425,0.61701,0.84975,0.99702,1,0.995,0.90335,0.48477,0.51955,0.99176,0.0014852,0.0014852,0.0014852
28,36.3964,0.3966,0.62487,0.82977,0.99698,1,0.995,0.93077,0.37372,0.49575,0.96477,0.0014654,0.0014654,0.0014654
29,37.5108,0.46823,0.62021,0.87006,0.99688,1,0.995,0.89092,0.49639,0.55742,0.98271,0.0014456,0.0014456,0.0014456
30,38.6776,0.38587,0.59494,0.84346,0.99672,1,0.995,0.8968,0.4528,0.52219,0.97599,0.0014258,0.0014258,0.0014258
31,39.8222,0.3779,0.55867,0.86288,0.99673,1,0.995,0.87073,0.46352,0.51721,0.97858,0.001406,0.001406,0.001406
32,40.9861,0.42673,0.60817,0.86856,0.99662,1,0.995,0.88149,0.409,0.53266,0.97472,0.0013862,0.0013862,0.0013862
33,42.1061,0.37871,0.59413,0.84956,0.99677,1,0.995,0.92509,0.43151,0.46447,0.97836,0.0013664,0.0013664,0.0013664
34,43.2274,0.4028,0.54965,0.84798,0.99684,1,0.995,0.86652,0.45907,0.51145,0.98071,0.0013466,0.0013466,0.0013466
35,44.3534,0.36559,0.53063,0.84814,0.99697,1,0.995,0.87432,0.48132,0.47735,0.98878,0.0013268,0.0013268,0.0013268
36,45.5156,0.3747,0.5318,0.82853,0.99723,1,0.995,0.88786,0.4913,0.45092,0.9811,0.001307,0.001307,0.001307
37,46.6988,0.36925,0.52123,0.82433,0.99723,1,0.995,0.92647,0.38867,0.46644,0.96889,0.0012872,0.0012872,0.0012872
38,47.8191,0.36058,0.51997,0.84817,0.99722,1,0.995,0.86946,0.43548,0.45388,0.97612,0.0012674,0.0012674,0.0012674
39,48.9642,0.40381,0.51873,0.85557,0.99724,1,0.995,0.89339,0.41111,0.48474,0.97582,0.0012476,0.0012476,0.0012476
40,50.4865,0.37987,0.49273,0.83997,0.99726,1,0.995,0.91351,0.44061,0.4703,0.97101,0.0012278,0.0012278,0.0012278
41,51.7607,0.3917,0.49868,0.83904,0.99726,1,0.995,0.90741,0.52618,0.44496,0.9802,0.001208,0.001208,0.001208
42,52.9261,0.38173,0.4784,0.83735,0.99725,1,0.995,0.88492,0.45728,0.38416,0.97396,0.0011882,0.0011882,0.0011882
43,54.0957,0.36575,0.45205,0.848,0.99727,1,0.995,0.93697,0.39338,0.36226,0.96986,0.0011684,0.0011684,0.0011684
44,55.2468,0.38757,0.47288,0.83703,0.99725,1,0.995,0.92719,0.40637,0.33507,0.96959,0.0011486,0.0011486,0.0011486
45,56.3817,0.38071,0.46027,0.82944,0.99728,1,0.995,0.92379,0.38284,0.35501,0.96541,0.0011288,0.0011288,0.0011288
46,57.5089,0.34778,0.46711,0.83523,0.99724,1,0.995,0.92522,0.36121,0.40675,0.96763,0.001109,0.001109,0.001109
47,58.6408,0.37118,0.47821,0.84634,0.99727,1,0.995,0.91966,0.39044,0.4459,0.97252,0.0010892,0.0010892,0.0010892
48,59.7999,0.40335,0.47798,0.83835,0.99725,1,0.995,0.93691,0.38602,0.38431,0.96576,0.0010694,0.0010694,0.0010694
49,60.923,0.37411,0.44425,0.83637,0.99725,1,0.995,0.92742,0.39581,0.34529,0.96574,0.0010496,0.0010496,0.0010496
50,62.0558,0.35969,0.43958,0.82982,0.99722,1,0.995,0.91198,0.3978,0.33381,0.96413,0.0010298,0.0010298,0.0010298
51,63.1895,0.32405,0.43113,0.829,0.99713,1,0.995,0.9174,0.44003,0.3179,0.96906,0.00101,0.00101,0.00101
52,64.7095,0.34689,0.44571,0.84988,0.99725,1,0.995,0.94071,0.39068,0.29959,0.96693,0.0009902,0.0009902,0.0009902
