epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30327,1.24845,3.12898,1.30211,0.00333,1,0.995,0.77093,0.68622,2.64011,0.83696,0.00014,0.00014,0.00014
2,4.04705,1.16104,1.62237,1.09648,0.00333,1,0.995,0.77935,0.78693,2.38356,0.84017,0.00029703,0.00029703,0.00029703
3,5.68001,1.10995,1.28958,1.0592,0.00333,1,0.995,0.73629,0.89839,2.53981,0.8435,0.000450892,0.000450892,0.000450892
4,7.35363,1.06964,1.27383,1.11053,0.00333,1,0.995,0.76693,0.89453,3.10743,1.01301,0.000601586,0.000601586,0.000601586
5,9.0809,1.03376,1.17552,1.08788,0.00333,1,0.995,0.77375,0.86978,2.56949,0.8334,0.000749112,0.000749112,0.000749112
6,10.9451,1.04012,1.12746,1.07682,0.98242,1,0.995,0.79189,0.83231,2.33048,0.83766,0.00089347,0.00089347,0.00089347
7,12.9395,1.06301,1.15272,1.09871,0.9886,1,0.995,0.79483,0.92791,1.87068,0.86358,0.00103466,0.00103466,0.00103466
8,14.7955,1.05987,1.0838,1.06668,0.97806,1,0.995,0.77616,0.96751,2.37135,0.88164,0.00117268,0.00117268,0.00117268
9,16.6389,1.01887,1.01404,1.05735,0.98316,1,0.995,0.71028,0.91954,2.06852,0.86947,0.00130754,0.00130754,0.00130754
10,18.6195,1.02065,1.02173,1.05999,0.97681,1,0.995,0.63917,1.23214,2.49069,1.02412,0.00143922,0.00143922,0.00143922
11,20.7206,1.02863,1.00663,1.08411,0.88046,1,0.995,0.78245,1.07151,2.16456,1.00341,0.00156774,0.00156774,0.00156774
12,22.8299,1.12241,1.03896,1.10301,0.9838,1,0.995,0.79538,0.8495,1.59669,0.85221,0.00169309,0.00169309,0.00169309
13,24.8159,1.01671,0.97624,1.06721,0.99688,1,0.995,0.78219,0.88081,1.60363,0.8367,0.0017624,0.0017624,0.0017624
14,27.1435,1.04303,0.92139,1.06373,0.99694,1,0.995,0.77139,0.84567,1.9758,0.82328,0.0017426,0.0017426,0.0017426
15,29.4576,1.10837,0.96184,1.12292,0.997,1,0.995,0.77451,1.01634,1.12675,0.8887,0.0017228,0.0017228,0.0017228
16,31.3466,1.04121,0.91668,1.05543,0.9966,1,0.995,0.78908,0.85321,1.00153,0.87485,0.001703,0.001703,0.001703
17,33.3407,1.04138,0.87002,1.10942,0.99743,1,0.995,0.79278,0.79315,0.9683,0.8043,0.0016832,0.0016832,0.0016832
18,35.2674,0.97787,0.83818,1.03026,0.99767,1,0.995,0.76671,0.88803,0.85816,0.84294,0.0016634,0.0016634,0.0016634
19,37.148,0.94033,0.81651,1.04283,0.99709,1,0.995,0.76834,0.86492,1.0602,0.8576,0.0016436,0.0016436,0.0016436
20,39.267,1.05106,0.83121,1.07769,0.99639,1,0.995,0.78071,0.93032,0.93708,0.88548,0.0016238,0.0016238,0.0016238
21,41.4146,1.01128,0.77689,1.06041,0.99667,1,0.995,0.7539,0.83899,0.7263,0.83397,0.001604,0.001604,0.001604
22,44.2302,0.9947,0.74639,1.05024,0.99791,1,0.995,0.74813,0.94577,0.62141,0.87483,0.0015842,0.0015842,0.0015842
23,46.2459,0.94282,0.71251,1.05238,0.99791,1,0.995,0.73927,0.98237,0.54406,0.90141,0.0015644,0.0015644,0.0015644
24,48.1757,0.94528,0.7005,1.02449,0.99795,1,0.995,0.8158,0.74313,0.50005,0.77811,0.0015446,0.0015446,0.0015446
25,50.0904,0.93051,0.70415,1.02851,0.99772,1,0.995,0.77295,0.8148,0.54395,0.81858,0.0015248,0.0015248,0.0015248
26,51.9681,1.00169,0.73064,1.06406,0.9976,1,0.995,0.84006,0.80282,0.57803,0.78728,0.001505,0.001505,0.001505
27,53.7912,0.89055,0.67129,1.03175,0.99749,1,0.995,0.79501,0.81251,0.55709,0.80245,0.0014852,0.0014852,0.0014852
28,55.4722,0.94503,0.65255,1.04823,0.99739,1,0.995,0.81618,0.87641,0.60877,0.7955,0.0014654,0.0014654,0.0014654
29,57.8179,1.01,0.68747,1.06289,0.99722,1,0.995,0.75415,0.96805,0.60284,0.84007,0.0014456,0.0014456,0.0014456
30,59.6708,0.98314,0.67701,1.05422,0.9977,1,0.995,0.78022,0.87979,0.5042,0.82571,0.0014258,0.0014258,0.0014258
31,61.6129,0.90783,0.62344,1.03135,0.99808,1,0.995,0.76972,0.78021,0.41643,0.80613,0.001406,0.001406,0.001406
32,63.9357,0.89485,0.64438,1.01409,0.99795,1,0.995,0.82033,0.73027,0.43763,0.78154,0.0013862,0.0013862,0.0013862
33,65.9486,0.94177,0.61216,1.02387,0.99793,1,0.995,0.82313,0.73075,0.42679,0.79758,0.0013664,0.0013664,0.0013664
34,67.9054,0.94379,0.59275,1.04679,0.99787,1,0.995,0.77686,0.70278,0.48925,0.80937,0.0013466,0.0013466,0.0013466
35,69.6315,0.90281,0.57499,1.02914,0.99762,1,0.995,0.75505,0.82916,0.52179,0.82711,0.0013268,0.0013268,0.0013268
36,71.4233,0.93807,0.61486,1.04702,0.99803,1,0.995,0.78271,0.78327,0.51265,0.80285,0.001307,0.001307,0.001307
37,73.593,0.90673,0.57058,0.97677,0.99787,1,0.995,0.82095,0.69983,0.49979,0.78712,0.0012872,0.0012872,0.0012872
38,75.656,0.93709,0.58235,1.04888,0.99788,1,0.995,0.84274,0.7174,0.51621,0.77548,0.0012674,0.0012674,0.0012674
39,77.5448,0.89298,0.57033,1.01816,0.99775,1,0.995,0.79437,0.9229,0.60318,0.82346,0.0012476,0.0012476,0.0012476
40,79.4205,0.90273,0.57398,1.03605,0.99798,1,0.995,0.81185,0.84656,0.51437,0.7971,0.0012278,0.0012278,0.0012278
41,81.3049,0.93826,0.55872,1.01943,0.99801,1,0.995,0.80429,0.75202,0.41238,0.77246,0.001208,0.001208,0.001208
42,83.1215,0.90759,0.57669,1.0032,0.99798,1,0.995,0.77924,0.77379,0.42374,0.81409,0.0011882,0.0011882,0.0011882
43,84.938,0.9188,0.56013,1.0346,0.99797,1,0.995,0.82544,0.76898,0.39411,0.8074,0.0011684,0.0011684,0.0011684
44,87.5116,0.92994,0.5647,1.00449,0.99803,1,0.995,0.82194,0.77467,0.39193,0.81949,0.0011486,0.0011486,0.0011486
45,89.3566,0.85619,0.5878,1.00855,0.99809,1,0.995,0.82802,0.71312,0.37911,0.80122,0.0011288,0.0011288,0.0011288
